orthology	C10	M11	D10	C12	M13	D11	C13	M6	D2	C14	M7	D6	C15	M8	D8	C9	M9	D9
K03632	2.385521801	5.017549022	31.36151599	4.259657768	17.00244987	1.198390633	0.370558295	72.25491702	0.899588468	0.068581311	4.090698639	14.32385847	0.474312289	0.383471044	2.863315324	0.444067615	119.0884694	0.472689161
K03633	3.784682689	3.76350857	19.39865559	1.591616233	9.477618173	0.275363737	0	58.51484115	0.312656625	0.689520207	2.716178311	12.03095511	0	0.782488212	0.57129028	0	84.33161972	0.325702833
K03634	1.849085483	1.394427509	25.45319996	6.521891462	16.84249358	1.438884615	1.476413462	50.93188244	3.713065245	2.820457135	5.773279012	11.78527803	2.700858367	2.613306438	2.500502823	0.846432058	88.63904854	4.600169176
K03635	0	8.658065029	35.23443651	8.777004277	35.06684935	8.289943255	2.21789142	71.71828373	0.876235128	2.623413644	12.2848752	14.5283769	2.720283461	4.255010084	1.675784821	2.459825496	94.84675118	10.44445269
K03636	13.69289841	5.946661948	37.16217546	12.7450018	31.45329613	7.479015088	5.926379914	83.13061934	8.36343487	8.000423839	10.23082657	16.41796736	1.923804069	4.289194642	6.716742815	2.425786642	76.87677692	18.87115706
K03637	60.49634837	53.23644341	101.4458861	38.54835283	44.70040305	85.82867307	98.71425159	140.8830637	109.9953373	72.37095878	99.04957605	116.9829109	31.98605047	50.96745236	134.2068729	76.09099061	186.077068	40.09941608
K03638	4.053372129	3.546341867	34.78702745	6.361879741	23.62915214	5.809634929	0	55.20061832	0	0	3.660304461	14.44065273	1.67484119	1.408016113	2.934740015	0	95.98129639	9.217215988
K03639	17.72896757	25.85951776	41.59971556	19.46155933	24.94489376	28.76446848	21.77481068	79.96846355	30.44914316	25.89664416	39.69139162	50.22895748	10.34611181	17.38836145	33.01348232	20.52472995	135.5832787	13.56938406
K03640	31.11818734	31.70607798	48.34087713	15.77454007	12.64985799	25.25726368	22.39882319	74.59298834	37.31196752	11.3591867	17.07520669	33.43637613	5.262043859	20.68775741	15.37816871	15.13076272	107.3537748	19.31993302
K03641	47.13895223	56.46011869	114.1717228	17.12041141	74.00989828	133.9300931	35.34607264	83.85486994	44.48187665	252.7012729	25.32917456	50.66524882	305.6018416	24.482692	29.63717173	196.6012935	109.2488854	44.10823876
K03642	26.59683718	35.12051811	62.2223458	18.01249188	97.92177911	63.96220375	22.67429627	94.00019566	61.72818328	110.4638151	77.02840002	55.07385056	134.1691098	57.10549784	39.13513126	85.62629658	109.5683676	36.36430149
K03643	1.785163891	5.048924354	20.58116047	2.724505365	8.781084937	0	0	41.9770021	0	0.629932041	2.756466535	9.315704461	2.212873074	0.590858446	0	0	78.28873159	1.202626701
K03644	116.4610315	161.3709881	126.5513739	32.333851	85.35658332	105.6250591	81.2404848	201.2355674	40.73357963	28.39287271	72.01642099	97.98191246	19.07163593	88.32386022	40.08769498	17.7579499	200.7563637	150.0563678
K03645	1.908804846	2.841450367	33.93066099	0	15.26604662	0	0	57.60006646	0.760049255	0	3.807511397	9.549654609	0	1.695951253	1.388771951	0	91.75186561	0
K03646	2.840987505	11.29109547	19.07555357	5.333253007	8.951691228	2.918660033	4.725429544	35.0223152	6.549071085	1.940426655	7.425621301	23.93245185	2.543894166	1.360781385	5.051599092	2.83987734	59.6112652	2.793597385
K03647	13.77819639	2.229331232	91.42182825	15.76986872	65.58103237	32.39197387	0	57.323322	10.94863005	3.423865918	11.86612047	19.37829569	4.409645849	47.55424095	14.63480597	2.032081741	102.2433409	40.69019011
K03648	845.5888949	995.5950285	889.4461885	800.6768617	857.0344509	1007.514626	900.247884	850.8155376	951.2729161	1215.244901	940.9535938	675.0184129	1246.675731	1040.324608	858.5107856	1189.696599	758.9947027	1045.678026
K03649	2.056953439	2.702439317	43.77377569	2.541402415	30.67839836	4.663102175	0.664039347	82.82148679	0	1.222143601	5.226588245	14.69885921	0.847389888	2.080387821	0	0	137.0536541	1.700097203
K03650	304.8264718	327.317874	489.5206558	396.0277056	466.1124869	482.7002859	435.7583358	446.6354793	373.4495603	447.3746165	421.6686572	382.4368402	438.892746	475.3309698	371.9958124	409.260877	419.4673516	404.9122621
