orthology	C10	M11	D10	C12	M13	D11	C13	M6	D2	C14	M7	D6	C15	M8	D8	C9	M9	D9
map00072	56.271741356125	56.103301300375	46.55109840675	53.753532344875	41.111072850125	36.369113127125	78.24984287025	37.585919847	124.864108549875	32.3551535935	56.212601403	115.85368777275	18.494480504375	56.026557454125	113.0217260675	50.62081633875	63.238943292125	66.455849828625
map00100	0.0707248855806452	0.0329582912258065	0.00426818322580645	0	0.247070022774194	0.0117693119354839	0.0308349556774194	0.00288889932258065	0	0	0	0	0	0.00805987093548387	0	0	0.00452428941935484	0.0500336671935484
map00120	14.8789127555556	11.2230246722222	14.1969195555556	19.6433781944444	12.6245417944444	12.5097958222222	15.4714734611111	7.19217152777778	15.363155154	6.14961945205556	10.3780717722222	13.59337815	5.16793936277778	13.1672911722222	15.0323252	6.31249028888889	7.39333638888889	16.4043506888889
map00121	41.3682933156923	30.3922598994615	31.3471927289231	42.6844399827692	28.330347648	24.6465386919231	40.1125609259231	19.920035662	42.7491522697692	14.7770276838462	25.6850465674615	32.6583434567692	11.2887186790769	30.0594320583077	38.2533642207692	16.6271968430769	22.7079892225385	33.3975740404615
map00130	30.6510574691818	27.7497715110727	37.3849888657455	24.1546749064545	44.2297411664364	34.7058553645273	19.9395274649818	53.2670072734	16.244129577	38.3481055905091	38.6382383436909	29.8858976142545	48.7115016444182	38.2648376705818	16.5990342035091	37.2234089953636	55.8115337348	27.0097687902182
map00140	5.12347590348936	3.89720541648936	3.26052520042553	2.71651390312766	2.408596526	3.45442472085106	3.42813982821277	4.69391430421277	1.98772043142553	1.42495418008511	2.64612772053191	2.53033605040426	1.54378364729787	3.30787922644681	1.69580114855319	1.35528163	5.0470183362766	3.64863582074468
map00190	87.15155988247	82.797356436212	82.0837302281336	82.4061288720968	92.6342707400738	88.2956820583779	75.8870216469171	86.9142213756913	69.7311486049032	89.0380009651198	93.4729347322212	79.2765782572258	95.9389973015023	88.4075809259723	73.8502003985991	88.0604025599355	76.6534076155207	79.0754100362627
map00195	104.003947042476	96.888286455746	97.6638217013015	104.56063031119	102.15221225346	95.0104813353016	90.285703086873	87.9739263307619	98.5930086546032	96.7858446132064	98.6793879959048	97.420166626381	95.0732165094444	94.6059567179206	103.460674733333	94.7635236441905	81.0618353015873	93.2029457675397
map00220	226.638266122414	225.464667508172	210.997434566069	225.983590653	227.951593402586	231.824827292552	236.068928108724	209.870991295603	241.286960785638	236.329402525983	241.616435641362	231.12920924731	248.128187881655	235.945183012793	248.886282585965	252.012752903466	193.644534820845	243.350820806207
map00230	159.862414724277	168.234510402433	161.37654351384	165.394914548901	164.875220349106	167.455910304514	163.878107177791	154.73896423861	167.616281142667	165.376120608986	165.16302743233	163.655488136578	165.621597973677	165.554374632844	168.841715636011	166.448878739401	147.802277065631	171.738064892
